date,title,abstract
2014-06-25,U.S. fast-food chain Del Taco explores sale -sources,"NEW YORK U.S. fast-food chain Del Taco, which specializes in Mexican cuisine as well as American favorites like burgers and fries, is in the early stages of exploring a sale that could fetch more than $500 million, people familiar with the matter said on Wednesday."
2014-06-30,DEALS-Global M&A; at seven-year high as big corporate deals return,"NEW YORK, June 30 Investor support for large acquisitions and a desire to trump rivals in consolidating markets have led chief executives to strike big transactions so far in 2014, raising year-to-date global deal volumes to their highest level in seven years."
2014-07-01,UPDATE 1-Alstom minority investors criticise GE deal,* Minority shareholders voice concern over government's influence
2014-07-01,Alstom to seek shareholder approval for GE deal in Q4,"PARIS, July 1 Alstom will seek shareholder approval for its tie-up with General Electric  in the fourth quarter, Chief Executive Patrick Kron told the French engineering group's annual shareholder meeting on Tuesday."
2014-07-02,First-half investment bank fees at highest since 2007,"LONDON, July 2 Fees paid for investment banking services rose 12 percent in the first half of 2014, their strongest start in seven years, data showed on Wednesday, as surging stock markets encouraged firms to strike deals."
2014-07-10,UPDATE 2-General Electric picks partners for GE9X engine on Boeing 777X,"(New throughout, adds details about company stakes, testing)"
2014-07-10,General Electric picks participants for GE9X engine on Boeing 777X,"NEW YORK, July 10 General Electric said on Thursday it picked Safran of France, Japan's IHI  and MTU Aero Engines Of Germany as key participants to work with GE on the GE9X engine that will power Boeing Co's new 777X aircraft."
2014-07-14,AIRSHOW-Emirates signs $13 bln service contract with GE,"July 14 Dubai-based carrier Emirates Airlines  said it signed a 12-year agreement with General Electric Co for the maintenance, repair and overhaul of its new GE9X engines."
2014-07-16,CORRECTED-UPDATE 1-GE in talks to sell appliances business - Bloomberg,"(Corrects paragraph 2 to show that the revenue was for the appliances and lighting unit, not only the appliances business. Removes reference to lighting business in paragraph 4)"
2014-07-16,GE in talks to sell appliances business - Bloomberg,"July 16 General Electric Co is in talks with potential suitors about selling its household appliances business, Bloomberg reported, citing people familiar with the matter."
2014-07-17,UPDATE 1-Market Chatter-Corporate finance press digest,July 17 The following corporate finance-related stories were reported by media:
2014-07-17,Market Chatter- Corporate finance press digest,July 17 The following corporate finance-related stories were reported by media:
2014-07-18,US STOCKS-Wall St rebounds from selloff; indexes up for the week,* Obama condemns Russia after Malaysian airliner downed in Ukraine
2014-07-18,GE's $3 bln credit card IPO pegged to U.S. consumer recovery,July 18 The success of General Electric Co's  impending initial public offering for its private-label credit card unit could ride on investors' willingness to bet that a lukewarm consumer-led U.S. economic recovery heats up.
2014-07-18,US STOCKS-Wall St rebounds after sharp drop; tech shares rally,* Obama condemns Russia after Malaysian airliner downed in Ukraine
2014-07-18,GE credit card unit to be valued at up to $21.6 bln in IPO,"General Electric Co's  credit card unit, Synchrony Financial , said it expects to raise up to $3.25 billion in a public offering of shares, in what is expected to be the biggest U.S. IPO by a financial company this year."
2014-07-18,"GE profit rises 13 percent, expects retail finance IPO end-July","General Electric Co  reported a 13-percent jump in quarterly net income Friday on improved sales of its jet engines and oil and gas equipment, and said it was targeting the initial public offering of its private-label credit-card business for the end of the month."
2014-07-18,UPDATE 1-GE credit card unit to be valued at up to $21.6 bln in IPO,"July 18 General Electric Co's credit card unit, Synchrony Financial , said it expects to raise up to $3.25 billion in a public offering of shares, in what is expected to be the biggest U.S. IPO by a financial company this year."
2014-07-18,GE credit card unit says to raise up to $3.25 bln in IPO,"July 18 General Electric Co's credit card unit, Synchrony Financial , said it expects to raise about $3.25 billion in an initial public offering of its shares."
2014-07-18,BRIEF-General Electric exec bolze says Alstom deal expected to close in mid-2015,July 18 General Electric Co on second-quarter conference call:  * Exec bolze says Alstom deal expected to close in mid-2015
2014-07-18,"US STOCKS-Wall St set for slight gain after sell-off, GE results","* Futures up: Dow 11 pts, S&P; 3 pts, Nasdaq 12.75 pts   (Updates prices, adds Honeywell earnings)"
2014-07-23,Alstom says record first-quarter transport orders offset low power sales,"PARIS French engineering group Alstom achieved record quarterly orders for rail equipment that offset a drop in sales at its power arm, most of which General Electric recently agreed to buy for 12.4 billion euros ($16.7 billion)."
2014-07-23,Alstom says record Q1 transport orders offset low power sales,"PARIS, July 23 French engineering group Alstom  achieved record quarterly orders for rail equipment that offset a drop in sales at its power arm, most of which General Electric recently agreed to buy for 12.4 billion euros ($16.7 billion)."
2014-07-31,CORRECTED-UPDATE 2-GE credit card unit Synchrony makes muted debut on NYSE,"(Corrects 17th paragraph to "" ... 75 percent of profit"", not "" ... 75 percent of revenue"")"
2014-07-31,GE credit card unit Synchrony makes muted debut on NYSE,"July 31 General Electric Co's credit card unit, Synchrony Financial, made a muted debut on the New York Stock Exchange on Thursday as investors remained ambivalent about a consumer-led U.S. economic recovery."
2014-07-31,GE credit card unit Synchrony Financial prices IPO at $23 per share,"General Electric Co's  credit card unit, Synchrony Financial , raised $2.88 billion in the biggest initial public offering so far this year, the company said on Wednesday."
2014-07-31,GE credit card unit Synchrony Financial prices IPO at $23 per share,"July 30 General Electric Co's credit card unit, Synchrony Financial, raised $2.88 billion in the biggest initial public offering so far this year, the company said on Wednesday."
2014-08-04,African leaders want U.S. trade deal renewed for 15 more years,"WASHINGTON African leaders urged the United States on Monday to renew a trade benefits program giving duty-free access to billions of dollars of African exports for 15 years, saying it would help cement trade relations and boost development in the region."
2014-08-04,African leaders want U.S. trade deal renewed for 15 more years,"WASHINGTON, Aug 4 African leaders urged the United States on Monday to renew a trade benefits program giving duty-free access to billions of dollars of African exports for 15 years, saying it would help cement trade relations and boost development in the region."
2014-08-04,"GE to invest $2 bln to boost African energy, infrastructure","WASHINGTON, Aug 4 General Electric Co on Monday pledged to invest $2 billion in Africa by 2018 to boost infrastructure, worker skills and access to energy, an announcement timed to coincide with a U.S. summit meeting of nearly 50 African leaders."
2014-08-04,GE's Immelt says Ex-Im bank closure would hurt US-Africa trade: FT,"Trade ties between the United States and Africa will be hit if the U.S. Congress decides to close the Export-Import bank, the Financial Times reported General Electric Co  Chief Executive Jeff Immelt as saying."
2014-08-04,GE's Immelt says Ex-Im bank closure would hurt US-Africa trade - FT,"Aug 4 Trade ties between the United States and Africa will be hit if the U.S. Congress decides to close the Export-Import bank, the Financial Times reported General Electric Co Chief Executive Jeff Immelt as saying."
2014-08-14,"UPDATE 3-Electrolux, others in talks to buy GE's appliances business",* GE unit could be worth $2-$2.5 bln - sources   (Adds GE statement)
2014-08-14,Electrolux in talks to buy GE's appliances business,STOCKHOLM World number two home appliances maker Electrolux said on Thursday it was in talks to buy General Electric's household appliances business.
2014-08-14,UPDATE 1-Electrolux in talks to buy GE's appliances business,* GE in talks with Electrolux and other parties - sources
2014-08-14,"GE in talks with Electrolux, others to sell appliances unit-sources","NEW YORK, Aug 14 General Electric Co is in talks with Sweden's Electrolux AB and other parties to sell its household appliances unit, people familiar with the matter said on Thursday."
2014-08-14,"Electrolux, Quirky in talks to buy GE home appliances unit : Bloomberg","General Electric Co  is reportedly in talks with Sweden's Electrolux AB  and Quirky Inc to sell its household appliances unit, Bloomberg reported, citing people familiar with the matter."
2014-08-14,"Electrolux, Quirky in talks to buy GE home appliances unit -Bloomberg","Aug 13 General Electric Co is reportedly in talks with Sweden's Electrolux AB and Quirky Inc to sell its household appliances unit, Bloomberg reported, citing people familiar with the matter."
2014-08-20,U.S. Ex-Im Bank backers pin hopes on temporary reauthorization,"WASHINGTON, Aug 20 Business backers of the U.S. Export-Import Bank said on Wednesday they hope the institution's charter will be extended temporarily while Congress hashes out a longer-term reauthorization of the bank, which some lawmakers are bent on closing."
2014-08-22,FAA certifies Boeing 787-9 with GE engines -document,"SEATTLE, Aug 22 The FAA has certified Boeing Co's 787-9 Dreamliner for use with General Electric Co  engines, clearing the way for first deliveries of the new aircraft with the U.S.-made engines expected later this month."
2014-08-23,UPDATE 1-Obama to business: tell your lawmakers to renew Ex-Im Bank,"(Adds response from Republican congressman in paragraphs 7, 8)"
2014-08-23,Obama to business: tell your lawmakers to renew Ex-Im Bank,"WASHINGTON, Aug 23 President Barack Obama on Saturday urged business owners to press Congress to reauthorize the U.S. Export-Import Bank, which could halt any new financing Sept. 30 - as some conservative Republicans hope it will - if lawmakers fail to act."
2014-09-02,"GE, IMI, buyout funds line up bids for Italy's Petrolvalves -sources","LONDON, Sept 2 General Electric, UK engineer IMI and buyout funds CVC and First Reserve are preparing binding offers for Italian valve maker Petrolvalves, sources familiar with the situation said."
2014-09-03,GE's 3D mammography device gets U.S. FDA approval,Sept 2 General Electric Co's healthcare unit last week won U.S. Food and Drug Administration approval for its mammography device that produces three-dimensional images to detect breast cancer.
2014-09-08,UPDATE 5-Electrolux takes on Whirlpool in U.S. with $3.3 bln GE Appliances buy,"* Values unit at 7.0-7.3 X 2014 EBITDA, ex synergies of $300 mln"
2014-09-08,Deals of the day- Mergers and acquisitions,"(Updates Chiquita Brands; adds Tesla, America Movil and Investment Corp of Dubai)"
2014-09-08,Electrolux to boost U.S. presence with $3.3 bln GE Appliances buy,"STOCKHOLM, Sept 8 Sweden's Electrolux  said on Monday it had agreed its biggest ever deal, buying General Electric Co's appliances business for $3.3 billion in cash to boost its presence in North America and take on rival Whirlpool Corp."
2014-09-08,NORDIC STOCKS-Factors to watch on Sept 8,"COPENHAGEN, Sept 8 The following stocks may be affected by newspaper reports and other factors on Monday:"
2014-09-08,GE to sell appliance business to Electrolux for $3.3 bln,Sept 8 General Electric Co said it has signed a definitive agreement to sell its appliance business to Electrolux AB for $3.3 billion.
2014-09-15,GE exec says avoided geared design in jet engine battle with Pratt,"Sept 15 General Electric Co avoided using a geared design for its new engine for narrowbody jets because of concerns about weight and reliability, said a top GE executive on Monday as it battles with rival Pratt & Whitney for billions of dollars in engine orders."
2014-09-22,WRAPUP 5-Siemens splurges $7.6 bln on Dresser-Rand in U.S. shale market bet,"* Siemens shares down 0.4 percent   (Adds financial, legal advisers in last paragraph)"
2014-09-29,GE inks more than $500 mln power equipment order with Exelon,"Sept 29 General Electric Co said on Monday it has won an order worth more than $500 million to provide power-generating equipment to U.S.-based Exelon Corp , including four of GE's highest efficiency gas turbines."
2014-10-01,GE to study shore in latest clean-up step for NY's Hudson River,"Oct 1 General Electric Co has agreed to conduct a study of shoreline contamination of New York's Hudson River, the company's latest step in an extensive clean-up effort of toxic chemicals it dumped into the waterway decades ago."
2014-10-06,UPDATE 1-GE names top M&A; exec as new healthcare head,"Oct 6 General Electric Co on Monday named its top deal-making executive as head of its healthcare business, saying that the unit's prior chief is leaving the company."
2014-10-06,GE names top M&A; exec as new healthcare head,"NEW YORK, Oct 6 General Electric Co on Monday named its top deal-making executive as head of its healthcare business, saying that the unit's prior chief is leaving the company."
2014-10-09,UPDATE 2-GE says data business on track for over $1 bln in sales,"NEW YORK, Oct 9 General Electric Co said on Thursday it was on track to generate more than $1 billion in revenue this year from its industrial data-analysis business, and plans to make its software platform broadly available next year."
2014-10-09,GE's data-analysis business on track to deliver $1 bln in sales,Oct 9 General Electric Co said it was on track to generate more than $1 billion in revenue this year from its data-analysis business that helps improve asset performance management.
2014-10-10,GE unit in talks to buy Milestone Aviation - WSJ,"Oct 10 General Electric Co's finance arm is in talks to buy Milestone Aviation Group Ltd, as the U.S. conglomerate looks to expand its aircraft-leasing operation into helicopters, The Wall Street Journal reported, citing people familiar with the matter."
2014-10-10,Alstom seeks transport deals beyond GE signaling unit,"BERLIN (Story corrects Sept. 23 story in seventh paragraph that Siemens acquired Invensys Rail, not Invensys)"
2014-10-10,CORRECTED-UPDATE 1-Alstom seeks transport deals beyond GE signaling unit,"(Corrects Sept. 23 story in seventh paragraph that Siemens acquired Invensys Rail, not Invensys)"
2014-10-13,UPDATE 1-GE aircraft unit to buy helicopter lessor Milestone for $1.78 bln,Oct 13 General Electric Co's aircraft leasing unit said it would buy Dublin-based helicopter leasing company Milestone Aviation Group for $1.78 billion.
2014-10-13,GE aircraft unit to buy helicopter lessor Milestone for $1.78 bln,Oct 13 General Electric Co's aircraft leasing unit said it would buy Dublin-based helicopter leasing company Milestone Aviation Group for $1.78 billion.
2014-10-14,GE aircraft unit to buy helicopter lessor Milestone for $1.78 billion,General Electric Co's  aircraft leasing unit said it would buy Dublin-based helicopter leasing company Milestone Aviation Group for $1.78 billion.
2014-10-14,UPDATE 2-GE aircraft unit to buy helicopter lessor Milestone for $1.78 bln,"Oct 13 General Electric Co's aircraft leasing unit announced plans on Monday to buy Dublin-based helicopter leasing company Milestone Aviation Group for $1.78 billion, branching out into an area tipped for solid growth in coming years."
2014-10-15,GE considers sale of Polish unit Bank BPH,"WARSAW General Electric Co  is considering selling its Polish business Bank BPH , BPH said in a statement on Wednesday."
2014-10-15,UPDATE 1-GE considers sale of Polish unit Bank BPH,"* KNF cites ""unfulfilled commitments"" of shareholders   (Adds reaction from financial watchdog, details)"
2014-10-15,GE says considers selling its Polish unit Bank BPH,"WARSAW, Oct 15 General Electric Co is considering selling its Polish mid-tier unit Bank BPH, BPH said in a statement on Wednesday."
2014-10-16,"UPDATE 2-GE's Polish bank, now for sale, lost race for market share",* General Electric said considering sale of its Polish bank
2014-10-16,Regulator sees new player as best fit to buy GE's Polish bank,"WARSAW, Oct 16 A new entrant to the Polish market would be the best fit to buy Polish mid-tier lender Bank BPH from General Electric, the head of the Polish financial watchdog was quoted as saying on Thursday."
2014-10-17,"US STOCKS-Wall St gains 1 pct on results, data; small caps down",* Small caps flat after longest streak of 1 pct gains since 2012
2014-10-17,"US STOCKS-Wall St up 1 pct on earnings, data; housing shares jump",* Small caps flat after longest streak of 1 pct gains since 2012
2014-10-17,GE profit tops views as cost cuts drive margins; shares up,"General Electric Co  reported a slightly higher-than-expected quarterly profit on Friday, with cost cuts that helped boost margins across its industrial businesses offsetting revenue that missed analysts' targets."
2014-10-17,UPDATE 4-GE profit tops views as cost cuts drive margins; shares up,"Oct 17 General Electric Co reported a slightly higher-than-expected quarterly profit on Friday, with cost cuts that helped boost margins across its industrial businesses offsetting revenue that missed analysts' targets."
2014-10-17,"US STOCKS-Wall St rallies on earnings, data; S&P; down on week","* Indexes up: Dow 1.91 pct, S&P; 1.69 pct, Nasdaq 1.59 pct   (Updates to early afternoon trading)"
2014-10-17,"US STOCKS-Wall St rallies on sturdy earnings, data","* Indexes up: Dow 1.6 pct, S&P; 1.64 pct, Nasdaq 1.62 pct   (Updates to late morning)"
2014-10-17,US STOCKS-Wall Street climbs at open on solid earnings,"* Indexes up: Dow 0.97 pct, S&P; 0.9 pct, Nasdaq 0.89 pct   (Adds data, Yellen statement, updates prices)"
2014-10-17,BRIEF-General Electric comments on Q3 conference call,"Oct 17 General Electric Co :  * CEO immelt says U.S. is probably ""best we've seen it"" since the financial"
2014-10-17,US STOCKS-Wall St to open higher on earnings boost,"* Futures up: Dow 162 pts, S&P; 22.5 pts, Nasdaq 54.25 pts   (Adds data, Yellen statement, updates prices)"
2014-10-30,UPDATE 1-GE plans stake sale in two S.Korean finance JVs -sources,"Oct 30 General Electric Co is planning to divest stakes in its joint venture auto-financing and credit card businesses in South Korea, people familiar with the matter told Reuters, as the U.S. conglomerate continues to trim its exposure to the financial services sector."
2014-10-30,GE in talks to sell stake in South Korea finance JVs - WSJ,"Oct 30 General Electric Co is in early stage talks to sell its stakes worth more than $1 billion in its South Korean auto-financing and credit card businesses, the Wall Street Journal reported, citing people familiar with the matter."
2014-10-30,UPDATE 1-Market Chatter-Corporate finance press digest,Oct 29 The following corporate finance-related stories were reported by media:
2014-11-05,GE says Alstom power deal on pace for mid-2015 closing,"General Electric Co's  $16.9 billion purchase of the power assets of France's Alstom  is on pace for closing in the middle of next year after passing several steps, the head of GE's power business said on Wednesday."
2014-11-05,GE says Alstom power deal on pace for mid-2015 closing,"Nov 5 General Electric Co's $16.9 billion purchase of the power assets of France's Alstom is on pace for closing in the middle of next year after passing several steps, the head of GE's power business said on Wednesday."
2014-11-05,Polish finance watchdog plays down GE's hopes of selling Bank BPH,"WARSAW, Nov 5 Potential bidders for Poland's Bank BPH, which General Electric is looking to sell, will be turned down unless they meet rigorous credit rating standards, the country's financial watchdog said."
2014-11-05,French government gives green light for GE-Alstom deal,PARIS The French government gave the green light on Wednesday for General Electric's  planned 12.4 billion euro ($15.6 billion) purchase of most of Alstom's  power business.
2014-11-05,"Alstom, refocused on rail, eyes higher sales and margin","PARIS France's Alstom , which is selling most of its energy equipment business to General Electric , said it expects its remaining rail arm to grow and generate cash this year after registering record orders in the first half."
2014-11-05,"UPDATE 1-Alstom, refocused on rail, eyes higher sales and margin","* Op margin improved in transport to 5 pct   (Adds detail, background)"
2014-11-05,French govt gives green light for GE-Alstom deal,"PARIS, Nov 5 The French government gave the green light on Wednesday for General Electric's planned 12.4 billion euro ($15.6 billion) purchase of most of Alstom's  power business."
2014-11-10,"GE ties cash, margin goals to compensation of CEO Immelt",Nov 10 General Electric Co Chief Executive Officer Jeff Immelt will personally profit if the U.S. conglomerate reaches certain cash and operating profit margin targets over the next three years.
2014-11-11,"Keeping consumer foothold, GE launches 'connected home' products","NEW YORK, Nov 11 Despite General Electric Co's  impending sale of its appliances business, the company is not abandoning the consumer."
2014-11-12,UPDATE 1-Alstom says could return 3.5-4 bln euros to shareholders after GE deal,"* Retained funds would be used to boost balance sheet   (Adds quote, detail, background)"
2014-11-12,Alstom says could return 3.5-4 bln euros to shareholders after GE deal,"PARIS, Nov 12 French train maker Alstom , which is selling most of its power equipment business to General Electric, said on Wednesday it could return 3.5-4 billion euros to shareholders following the deal."
2014-11-19,"GE wind-power business looks to global expansion, data services: executive","General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance, a top company energy executive said on Wednesday."
2014-11-19,"GE wind-power business looks to global expansion, data services- exec","Nov 19 General Electric Co looking to grow its wind-power business by increasing installations of turbines globally while providing services such as data analytics to improve their performance, a top company energy executive said on Wednesday."
2014-11-25,UPDATE 1-U.S. Fed plans enhanced capital standards for GE unit,"WASHINGTON, Nov 25 The U.S. Federal Reserve on Tuesday proposed to impose tougher capital standards on General Electric's finance unit, one of a handful of non-bank firms deemed critically important to the health of the financial system."
2014-11-25,UPDATE 1-VietJet Air signs $300 mln engine maintenance deal with CFM International,"* Deal comes after VietJet bought engines, jets from CFM, Airbus"
2014-11-25,VietJet Air in $300 mln deal with CFM International -newspaper,"HANOI, Nov 25 Vietnam's budget airline VietJet Air has signed a $300 million contract for engine maintenance with CFM International, a venture between General Electric  and Snecma, a unit of France's Safran SA, a state-run newspaper said on Tuesday."
2014-12-02,Polish regulator forces GE banking unit to continue in recovery plan,"WARSAW Poland's banking regulator wants Bank BPH  to be kept under special remedial measures until mid-2016, the lender said on Tuesday, potentially complicating owner General Electric Co's  plans to sell the unit."
2014-12-02,Polish regulator forces GE banking unit to continue in recovery plan,"WARSAW, Dec 2 Poland's banking regulator wants Bank BPH to be kept under special remedial measures until mid-2016, the lender said on Tuesday, potentially complicating owner General Electric Co's plans to sell the unit."
2014-12-05,Wall St Week Ahead-Assessing the fallout from the fall in oil prices,"NEW YORK, Dec 5 With crude oil prices hitting five-year lows, investors are scrambling to gauge the impact of the sharp drop in petroleum costs on companies beyond the energy sector."
2014-12-05,Alstom union fears 320 job cuts at Belfort train-making plant,"PARIS, Dec 5 Alstom, which is selling most of its power arm to General Electric to focus on train-making, could halve staff at its Belfort plant in eastern France to cope with flagging locomotive demand, Alstom's main union warned on Friday."
2014-12-07,Assessing the fallout from the fall in oil prices,"NEW YORK With crude oil prices hitting five-year lows, investors are scrambling to gauge the impact of the sharp drop in petroleum costs on companies beyond the energy sector."
2014-12-07,Assessing the fallout from the fall in oil prices,"NEW YORK With crude oil prices hitting five-year lows, investors are scrambling to gauge the impact of the sharp drop in petroleum costs on companies beyond the energy sector."
2014-12-16,"UPDATE 3-GE sees 2015 profit pressured by ""sluggish"" oil business","* Sets target to raise margins by 50 basis points/year   (Adds CEO quote, details, background)"
2014-12-16,GE expects 2015 industrials units profit to rise at least 10 pct,"NEW YORK, Dec 16 General Electric Co said it expects profit from its industrial units to rise by at least 10 percent in 2015, as the conglomerate cuts reliance on its financial services business."
2014-12-16,Alstom nearing $700 mln U.S. bribery settlement -Bloomberg,"PARIS, Dec 16 Alstom is close to settling a bribery case with the U.S. Justice Department for $700 million, Bloomberg reported on Tuesday, citing people familiar with the matter."
2014-12-16,CAMBODIA PRESS-General Electric to sign power deal with Cambodian firm - Cambodia Daily,"U.S. conglomerate General Electric (GE) will sign a deal with Cambodia's state-owned utility company Electricite du Cambodge (EdC) on Thursday to improve the country's electricity grid, the Cambodia Daily reported, citing a press release from the U.S. Embassy. (http://bit.ly/1DDVBcm)"
2014-12-18,GE to launch breakdancing documentary for streaming devices,Dec 18 U.S. industrial conglomerate General Electric Co plans to release its first feature film through video streaming devices like Roku and Apple TV in a marketing effort that raises the bar for sponsored content.
2014-12-19,Alstom shareholders back 12.35 billion euro sale of power arm to GE,PARIS Alstom  shareholders on Friday backed with 99.2 percent of votes the French engineering group's plan to sell most of its power equipment business to General Electric  and refocus on its smaller rail arm.
2014-12-19,Alstom shareholders back 12.35 bln eur sale of power arm to GE,"PARIS, Dec 19 Alstom shareholders on Friday backed with 99.2 percent of votes the French engineering group's plan to sell most of its power equipment business to General Electric and refocus on its smaller rail arm."
2014-12-19,How GE changed tack on Russia,"LONDON About five years ago, General Electric Co, the largest Western player in Russia's market for medical equipment, uncovered pervasive corruption in its Russian business. Ferdinando Beccalli-Falco, then chief executive of GE Germany and Developed Markets, told an investor conference in 2012 that senior management became aware of the problems around 2009."
2014-12-19,How GE changed tack on Russia,"LONDON, Dec 19 About five years ago, General Electric Co, the largest Western player in Russia's market for medical equipment, uncovered pervasive corruption in its Russian business. Ferdinando Beccalli-Falco, then chief executive of GE Germany and Developed Markets, told an investor conference in 2012 that senior management became aware of the problems around 2009."
2014-12-22,UK adds to Alstom's legal woes as power unit faces bribe charge,"LONDON/PARIS, Dec 22 Britain's Serious Fraud Office (SFO) has charged a British subsidiary of French energy equipment firm Alstom with bribing officials to secure a power contract, making it the second Alstom unit to face UK charges this year."
2015-01-16,REFILE-EXCLUSIVE-GE finances first A350 powered by rival Rolls-Royce,"PARIS, Jan 16 When the Airbus A350 jet made its commercial debut with Qatar Airways this week, the event marked a milestone for engine supplier Rolls-Royce, but slipping unnoticed under the radar with financing was its arch-rival General Electric."
2015-01-19,Swiss franc surge may hit Polish banks - Moody's,"WARSAW, Jan 19 Moody's Investors Service said on Monday the Swiss franc surge may negatively affect Polish banks, saying General Electric's Polish unit BPH, Bcp's Millennium, Commerzbank's  mBank, and Getin Noble were most vulnerable."
2015-01-20,"EU regulators to rule on GE, Alstom power deal by Feb. 23",BRUSSELS European Union antitrust regulators have set a Feb. 23 deadline for a decision on whether to clear General Electric's planned purchase of most of French engineering group Alstom's power equipment business.
2015-01-20,"EU regulators to rule on GE, Alstom power deal by Feb. 23","BRUSSELS, Jan 20 European Union antitrust regulators have set a Feb. 23 deadline for a decision on whether to clear General Electric's planned purchase of most of French engineering group Alstom's power equipment business."
2015-01-21,"UPDATE 2-Alstom keeps full-year targets, to get more cash from GE","* Ancillary deals with GE worth 400 mln eur   (Adds detail, shares, analyst comments)"
2015-01-21,Alstom confirms full-year sales and margin targets,"PARIS, Jan 21 France's Alstom, which is selling most of its power equipment business to General Electric, confirmed its full-year revenue and profit target after posting a 10 percent quarterly sales jump at its remaining rail arm."
2015-01-23,GE looks to 'play offense' as oil prices sink: CFO,"Even as the drop in oil prices hits its customer base, General Electric Co  plans to ""play offense"" and separate itself from rivals offering oil equipment and services, its chief financial officer said on Friday."
2015-01-23,RPT-UPDATE 3-GE industrial profit rises despite flagging oil unit sales,Jan 23 General Electric Co reported a 9 percent rise in quarterly industrial profit on Friday as its businesses that sell power-generating turbines and jet engines helped offset weak sales in its oil and gas unit.
2015-01-23,UPDATE 3-GE industrial profit rises despite flagging oil unit sales,Jan 23 General Electric Co reported a 9 percent rise in quarterly industrial profit on Friday as its businesses that sell power-generating turbines and jet engines helped offset weak sales in its oil and gas unit.
2015-01-23,"GE profit rises, helped by power, aviation units","Jan 23 General Electric Co posted a rise in quarterly profit on Friday, helped by its businesses selling power-generating turbines and jet engines, although sales in its oil and gas unit slumped."
2015-01-27,"General Electric says to build 1,200 MW power plant in Ghana","PEDUASE, Ghana, Jan 27 General Electric Co (GE)  will build a 1,200-megawatt thermal power plant in Ghana to come onstream in the next five years in a bid to address the West African country's power deficit, chief executive Jeff Immelt said on Tuesday."
2015-02-02,General Electric plans to cut 330 Texas jobs in oil unit,"Feb 2 General Electric Co plans to cut 330 jobs in Texas in its oil and gas division, as it grapples with pressure on the unit from the drop in oil prices."
2015-02-11,UPDATE 1-General Electric to allow shareholders to nominate directors,"WASHINGTON, Feb 11 General Electric Co  will allow shareholders to nominate their own corporate directors, becoming one of the few companies to adopt proxy access reforms in a move that could pave the way for others."
2015-02-11,General Electric to allow shareholders to nominate directors,"WASHINGTON, Feb 11 General Electric Co.  changed its bylaws earlier this month to create an easier path for shareholders to nominate directors to its corporate board, the company disclosed in a filing on Wednesday."
2015-02-14,GE to use new India manufacturing facility as export hub,"CHAKAN, India, Feb 14 General Electric Co  will use its new manufacturing facility in India, which was formally inaugurated on Saturday, as an export hub, with plans to send half of its output to the conglomerate's global factories."
2015-02-23,EU watchdog to examine GE's $14 billion Alstom deal more closely,"BRUSSELS General Electric's  12.4 billion euro ($14.1 billion) bid for Alstom's  power equipment business could lead to price rises, EU antitrust regulators said on Monday as they opened a full-scale investigation into the deal, increasing pressure on the U.S. conglomerate to offer concessions."
2015-02-23,UPDATE 2-EU watchdog to examine GE's $14 bln Alstom deal more closely,"* GE says still aiming to close deal by mid-2015   (Adds GE, Alstom comments)"
2015-02-23,"EU opens in-depth probe into 12.4-bln-euro GE, Alstom deal","BRUSSELS, Feb 23 EU antitrust regulators launched an extensive investigation on Monday into General Electric's proposed takeover of Alstom's power equipment business, concerned that the 12.4-billion-euro ($14.06 billion) deal may reduce competition."
2015-02-23,EU mergers and takeovers (Feb 23),"BRUSSELS, Feb 23 The following are mergers under review by the European Commission and a brief guide to the EU merger process:"
2015-03-10,"GE CEO Immelt gets salary, cash bonus bump for 2014","March 10 General Electric Co Chief Executive Officer Jeff Immelt earned roughly 8 percent increases in his salary and cash bonus in 2014, the U.S. conglomerate said in its proxy statement on Tuesday, despite a sluggish performance by GE's shares last year."
2015-03-11,GE weighs deeper cuts to banking business - WSJ,"March 11 General Electric Co is considering making deeper cuts in its banking business, the Wall Street Journal reported, citing people familiar with the matter."
2015-03-11,State could buy Alstom shares from Bouygues in coming months,"PARIS, March 11 A deal allowing the French state to buy up to 20 percent in engineering group Alstom  from construction group Bouygues will become effective ""in the coming months"", Economy Minister Emmanuel Macron said on Wednesday."
2015-03-11,General Electric seeks to sell 500 of new gas turbines by 2030,"Niskayuna, NEW YORK, March 11 General Electric Co expects to sell 500 of its more highly efficient gas power turbines in the next 15 years, a company executive said on Wednesday during a meeting to spotlight the U.S. conglomerate's ability to innovate."
2015-03-11,GE to base its renewables unit in France: Alstom chief,"PARIS General Electric Co  will base its renewable energy unit in Paris and put a Frenchman in charge of the division after it completes the purchase of the energy activities of France's Alstom , Alstom chief Patrick Kron said on Wednesday."
2015-03-11,GE to base its renewables unit in France - Alstom chief,"PARIS, March 11 General Electric Co will base its renewable energy unit in Paris and put a Frenchman in charge of the division after it completes the purchase of the energy activities of France's Alstom, Alstom chief Patrick Kron said on Wednesday."
2015-03-13,UPDATE 2-GE delivers turbines to Egypt as part of $1.9 bln deal,"SHARM EL-SHEIKH, Egypt, March 13 General Electric Co has delivered a shipment of gas turbines to Egypt as part of a $1.9 billion deal to boost power capacity, and will invest $200 million in a planned economic zone near the Suez Canal, the firm said on Friday."
